Origen,Provincia,Estadillo,Clase,Subclase,Hoja50,CoorX,CoorY,INE,Nivel1,Nivel2,Nivel3,Nivel4,Nivel5,Nivel6,FccTot,FccArb,DisEsp,ComEsp,JefeEq,Estado
34,34,2,A,NA,81,374000,4764000,166,1,NA,NA,NA,NA,NA,NA,70,1,2,24,X
34,34,3,A,NA,81,375000,4764000,166,1,NA,NA,NA,NA,NA,NA,80,1,1,24,X
34,34,4,A,NA,81,376000,4764000,166,1,NA,NA,NA,NA,NA,NA,80,1,2,24,X
34,34,5,A,NA,81,373000,4763000,166,1,NA,NA,NA,NA,NA,NA,75,1,1,24,X
34,34,6,A,NA,81,376000,4763000,166,1,NA,NA,NA,NA,NA,NA,80,1,2,24,X
34,34,7,A,NA,82,381000,4768000,166,1,NA,NA,NA,NA,NA,NA,80,1,2,20,X
34,34,8,A,NA,82,382000,4768000,166,1,NA,NA,NA,NA,NA,NA,80,1,1,20,X
34,34,9,A,NA,82,381000,4767000,166,1,NA,NA,NA,NA,NA,NA,80,1,2,20,X
34,34,10,A,NA,82,379000,4766000,166,1,NA,NA,NA,NA,NA,NA,70,1,2,20,X
34,34,13,A,NA,82,379000,4765000,166,1,NA,NA,NA,NA,NA,NA,80,1,1,20,X
34,34,14,A,NA,82,381000,4765000,166,1,NA,NA,NA,NA,NA,NA,70,1,1,20,X
34,34,15,A,NA,82,382000,4765000,166,1,NA,NA,NA,NA,NA,NA,70,1,2,20,X
34,34,16,A,NA,82,383000,4765000,166,1,NA,NA,NA,NA,NA,NA,80,1,2,20,X
34,34,17,A,NA,82,377000,4763000,166,1,NA,NA,NA,NA,NA,NA,80,1,2,20,X
34,34,18,A,NA,82,378000,4763000,166,1,NA,NA,NA,NA,NA,NA,60,1,1,20,X
34,34,19,A,NA,82,381000,4763000,166,1,NA,NA,NA,NA,NA,NA,80,1,2,20,X
34,34,20,A,NA,82,383000,4763000,166,1,NA,NA,NA,NA,NA,NA,60,1,2,20,X
34,34,21,A,NA,82,384000,4763000,166,1,NA,NA,NA,NA,NA,NA,40,1,1,20,X
