Origen,Provincia,Estadillo,Clase,Subclase,Hoja50,CoorX,CoorY,INE,Nivel1,Nivel2,Nivel3,Nivel4,Nivel5,Nivel6,FccTot,FccArb,DisEsp,ComEsp,JefeEq,Estado
49,49,224,A,NA,269,260000,4670000,4,1,NA,NA,NA,NA,NA,NA,40,1,2,7,X
49,49,228,A,NA,269,738000,4670000,18,1,NA,NA,NA,NA,NA,NA,30,2,2,7,X
49,49,229,A,NA,269,746000,4670000,79,1,NA,NA,NA,NA,NA,NA,40,1,1,7,X
49,49,230,A,NA,269,260000,4669000,4,1,NA,NA,NA,NA,NA,NA,20,2,1,7,X
49,49,231,A,NA,269,262000,4668000,15,1,NA,NA,NA,NA,NA,NA,50,1,1,7,X
49,49,232,A,NA,269,733000,4668000,57,1,NA,NA,NA,NA,NA,NA,10,3,1,7,X
49,49,234,A,NA,269,741000,4668000,18,1,NA,NA,NA,NA,NA,NA,40,1,1,7,X
49,49,235,A,NA,269,746000,4668000,NA,1,NA,NA,NA,NA,NA,NA,,NA,NA,7,X
49,49,236,A,NA,269,259000,4667000,15,1,NA,NA,NA,NA,NA,NA,0,NA,NA,7,X
49,49,237,A,NA,269,734000,4667000,57,1,NA,NA,NA,NA,NA,NA,70,1,2,7,X
49,49,238,A,NA,269,740000,4667000,18,1,NA,NA,NA,NA,NA,NA,30,2,1,7,X
49,49,239,A,NA,269,741000,4667000,18,1,NA,NA,NA,NA,NA,NA,50,2,1,7,X
49,49,240,A,NA,269,743000,4667000,18,1,NA,NA,NA,NA,NA,NA,70,1,1,7,X
49,49,241,A,NA,269,744000,4667000,18,1,NA,NA,NA,NA,NA,NA,50,1,1,7,X
49,49,242,A,NA,269,746000,4667000,206,1,NA,NA,NA,NA,NA,NA,10,2,1,7,X
49,49,243,A,NA,269,747000,4667000,206,1,NA,NA,NA,NA,NA,NA,10,3,1,7,X
49,49,244,A,NA,269,748000,4667000,79,1,NA,NA,NA,NA,NA,NA,30,2,1,7,X
49,49,245,A,NA,269,739000,4666000,225,1,NA,NA,NA,NA,NA,NA,40,2,2,7,X
49,49,246,A,NA,269,259000,4666000,NA,1,NA,NA,NA,NA,NA,NA,,NA,NA,7,X
49,49,248,A,NA,269,264000,4666000,243,1,NA,NA,NA,NA,NA,NA,20,1,1,7,X
49,49,249,A,NA,269,738000,4666000,225,1,NA,NA,NA,NA,NA,NA,0,NA,NA,7,X
49,49,250,A,NA,269,740000,4666000,18,1,NA,NA,NA,NA,NA,NA,40,1,1,7,X
49,49,251,A,NA,269,741000,4666000,18,1,NA,NA,NA,NA,NA,NA,40,1,1,7,X
49,49,252,A,NA,269,746000,4666000,18,1,NA,NA,NA,NA,NA,NA,10,2,1,7,X
49,49,253,A,NA,269,747000,4666000,206,1,NA,NA,NA,NA,NA,NA,30,1,1,7,X
49,49,254,A,NA,269,738000,4665000,225,1,NA,NA,NA,NA,NA,NA,10,3,1,7,X
49,49,255,A,NA,269,739000,4665000,225,1,NA,NA,NA,NA,NA,NA,30,2,1,7,X
49,49,256,A,NA,269,740000,4665000,18,1,NA,NA,NA,NA,NA,NA,20,2,2,7,X
49,49,257,A,NA,269,261000,4665000,15,1,NA,NA,NA,NA,NA,NA,80,1,2,7,X
49,49,258,A,NA,269,742000,4665000,18,1,NA,NA,NA,NA,NA,NA,30,2,2,7,X
49,49,259,A,NA,269,737000,4664000,NA,1,NA,NA,NA,NA,NA,NA,,NA,NA,7,X
49,49,260,A,NA,269,739000,4664000,225,1,NA,NA,NA,NA,NA,NA,20,1,2,7,X
49,49,261,A,NA,269,263000,4664000,243,1,NA,NA,NA,NA,NA,NA,80,1,2,7,X
49,49,262,A,NA,269,738000,4664000,225,1,NA,NA,NA,NA,NA,NA,50,1,1,7,X
49,49,263,A,NA,269,740000,4664000,225,1,NA,NA,NA,NA,NA,NA,20,1,1,7,X
49,49,264,A,NA,269,741000,4664000,193,1,NA,NA,NA,NA,NA,NA,20,2,2,7,X
49,49,265,A,NA,269,742000,4664000,206,1,NA,NA,NA,NA,NA,NA,10,2,2,7,X
49,49,266,A,NA,269,744000,4664000,206,1,NA,NA,NA,NA,NA,NA,20,2,2,7,X
49,49,267,A,NA,269,738000,4663000,225,1,NA,NA,NA,NA,NA,NA,40,1,2,7,X
49,49,268,A,NA,269,739000,4663000,225,1,NA,NA,NA,NA,NA,NA,30,2,2,7,X
49,49,269,A,NA,269,740000,4663000,193,1,NA,NA,NA,NA,NA,NA,70,1,2,7,X
49,49,270,A,NA,269,735000,4663000,225,1,NA,NA,NA,NA,NA,NA,10,3,3,7,X
49,49,271,A,NA,269,734000,4662000,NA,1,NA,NA,NA,NA,NA,NA,,NA,NA,7,X
49,49,272,A,NA,269,740000,4662000,193,1,NA,NA,NA,NA,NA,NA,40,1,2,7,X
49,49,273,A,NA,269,253000,4660000,206,1,NA,NA,NA,NA,NA,NA,60,1,2,7,X
49,49,274,A,NA,269,747000,4660000,206,1,NA,NA,NA,NA,NA,NA,50,1,2,7,X
49,49,275,A,NA,269,748000,4660000,206,1,NA,NA,NA,NA,NA,NA,50,1,2,7,X
49,49,276,A,NA,269,252000,4659000,NA,1,NA,NA,NA,NA,NA,NA,,NA,NA,7,X
49,49,277,A,NA,269,253000,4659000,206,1,NA,NA,NA,NA,NA,NA,40,1,1,7,X
49,49,278,A,NA,269,746000,4659000,27,1,NA,NA,NA,NA,NA,NA,40,1,2,7,X
49,49,279,A,NA,269,747000,4659000,206,1,NA,NA,NA,NA,NA,NA,60,1,2,7,X
49,49,280,A,NA,269,252000,4658000,206,1,NA,NA,NA,NA,NA,NA,40,1,1,7,X
49,49,281,A,NA,269,253000,4658000,206,1,NA,NA,NA,NA,NA,NA,70,1,1,7,X
49,49,282,A,NA,269,256000,4658000,92,1,NA,NA,NA,NA,NA,NA,70,1,1,7,X
49,49,283,A,NA,269,739000,4658000,193,1,NA,NA,NA,NA,NA,NA,40,1,2,5,X
49,49,284,A,NA,269,740000,4658000,193,1,NA,NA,NA,NA,NA,NA,70,1,2,7,X
49,49,285,A,NA,269,746000,4658000,27,1,NA,NA,NA,NA,NA,NA,70,1,2,7,X
49,49,286,A,NA,269,747000,4658000,27,1,NA,NA,NA,NA,NA,NA,40,1,1,7,X
49,49,287,A,NA,269,748000,4658000,206,1,NA,NA,NA,NA,NA,NA,40,2,2,7,X
49,49,288,A,NA,269,253000,4657000,206,1,NA,NA,NA,NA,NA,NA,60,1,1,7,X
49,49,289,A,NA,269,255000,4657000,92,1,NA,NA,NA,NA,NA,NA,50,1,1,7,X
49,49,290,A,NA,269,256000,4657000,92,1,NA,NA,NA,NA,NA,NA,70,1,1,7,X
49,49,291,A,NA,269,258000,4657000,92,1,NA,NA,NA,NA,NA,NA,60,1,1,7,X
49,49,292,A,NA,269,259000,4657000,92,1,NA,NA,NA,NA,NA,NA,60,1,1,7,X
49,49,293,A,NA,269,745000,4657000,33,1,NA,NA,NA,NA,NA,NA,60,1,1,7,X
49,49,294,A,NA,269,747000,4657000,33,1,NA,NA,NA,NA,NA,NA,30,1,1,7,X
49,49,5,A,NA,229,694000,4672000,189,1,NA,NA,NA,NA,NA,NA,30,1,2,3,X
49,49,6,A,NA,229,702000,4672000,181,1,NA,NA,NA,NA,NA,NA,50,1,2,3,X
49,49,7,A,NA,230,718000,4675000,134,1,NA,NA,NA,NA,NA,NA,60,1,1,3,X
49,49,8,A,NA,230,722000,4675000,134,1,NA,NA,NA,NA,NA,NA,0,NA,NA,3,X
49,49,9,A,NA,230,712000,4674000,62,1,NA,NA,NA,NA,NA,NA,20,1,1,3,X
49,49,11,A,NA,230,715000,4674000,62,1,NA,NA,NA,NA,NA,NA,5,1,1,3,X
