Origen,Provincia,Estadillo,Cla,Subclase,CoorX,Coory,Tipo,Vuelo1,Pasada1,Foto1,Vuelo2,Pasada2,Foto2,Ano,INE,Nivel1,Nivel2,Nivel3,FccTot,FccArb,DisEsp,ComEsp,Rocosid,Textura,MatOrg,PhSuelo,FechaPh,HoraPh,TipSuelo1,TipSuelo2,TipSuelo3,MErosiva,ModComb,EspCMue,PresReg,EfecReg,CortaReg,MejVue1,MejVue2,MejSue1,MejSue2,Orienta1,Orienta2,MaxPend1,MaxPend2,Localiza,Acceso,Levanta,Obser,Equipo,JefeEq,FechaIni,HoraIni,FechaFin,HoraFin,Tiempo,Resid,RumboF1,RumboF2,DistFoto,CarFoto1,NumFoto1,ConFoto1,CarFoto2,NumFoto2,ConFoto2,Estado,Tecnico
49,49,5,A,1,NA,NA,0,1985,M,11,1998,,4-3,2002,189,1,1,1,90,30,1,1,2,2,2,4,10/15/02 00:00:00,12/30/99 19:14:00,1,2,1,1,6,3,NA,NA,0,0,,0,,0,0,4.5,0,2,1,1,"ENCONTRADO EL REJON POR LOS PIES MAYORES Y FOTO DEL IFN2. AUNQUE HAY ALGUN PIE LATIZAL LO QUE PREDOMINA ES EL ESTADO FUSTAL.
NO HAY CASTAÑO EN 25 MT.
SP MATORRAL 4104 CORRESPONDE A CYTISUS MULTIFLORUS. FISIOGRAFIA COMPROBADA Y CORRECTA. OTRO MODELO DE COMBUSTIBLE 05 EN LOS ALREDEDORES. FUE PRECISO PODAR ALGUNA RAMA Y CORTAR ALGUNAS RETAMAS PARA FACILITAR LA MEDICION.
DEBAJO DEL MATORRAL HAY PASTO.",3,26,10/15/02 00:00:00,12/30/99 19:08:00,10/15/02 00:00:00,12/30/99 19:22:12,14,166,75,340,10,353481,16,25,353481,15,26,D,5
49,49,6,A,1,NA,NA,0,1985,M,14,1998,,4-4,2002,181,1,1,2,90,70,1,2,3,2,2,4,08/27/02 00:00:00,12/30/99 14:35:00,1,2,1,1,5,3,NA,NA,0,4,,1,,45,0,4.5,0,2,1,1,"ENCONTRADO EL REJON POR LA SILICONA DE LOS ARBOLES TIPOS Y REFERENCIAS DEL IFN2.
NO HAY PINO PINASTER; EN EL IFN2    CONFUNDIERON EL PINO LARICIO CON EL PINO PINASTER. OCUPACION COMPROBADA Y CORRECTA.
PIES 1 Y 15 SP COMPROBADA Y CORRECTA. PIE 2 FORMA CORREGIDA. PINO SILVESTRE A 11.20 MT Y 183 GRADOS CON DIAMETROS 222-218 NO   ENTRA.
PINO LARICIO A 5.20 MT Y 205 GRADOS CON DIAMETROS 120-120 NO ENTRA.
PINO LARICIO A 9.50 MT Y 353 GRADOS CON  DIAMETROS 127-122 NO ENTRA POR POCO.
HAY ABUNDANTES RAMAS DE LAS PODAS.
EN LOS ALREDEDORES DE LA PARCELA HAY PINOS SIN PODAR.",3,26,08/27/02 00:00:00,12/30/99 13:08:47,08/27/02 00:00:00,12/30/99 14:37:04,88,166,95,335,10,353522,4,37,353522,3,38,D,5
49,49,7,A,1,NA,NA,0,1985,M,7,1998,,3-4,2002,134,1,1,1,100,60,1,1,4,2,2,4,08/01/02 00:00:00,12/30/99 12:40:00,1,2,1,1,6,4,NA,NA,0,0,,0,,250,0,5,0,3,3,3,"ENCONTRADO EL REJON POR LOS PIES MAYORES Y ORTOFOTO DEL   IFN3. HA SIDO PRECISO PODAR RAMAS Y LIMPIAR LA PARCELA DE BREZO   PARA FACILITAR LA MEDICION. POR LA PARCELA PASO UN INCENDIO HACE MUCHOS AÑOS (15 APROX.) Y ALGUNOS REBOLLOS TIENEN SECUELAS EN EL TRONCO, AUNQUE LAS HERIDAS ESTAN  CICATRIZANDO. PIE 2  TAMBIEN TIENE DAÑOS DEL INCENDIO EN LAS   RAMAS. PIE 4 MEDIDO A 1.40 MT POR CAER EL  1.30 MT EN UN CODO DEL TRONCO YA QUE ESTE ES MUY  IRREGULAR. PIE 5 DIAMETROS COMPROBADOS. PIE 6  FORMA Y ALTURA COMPROBADAS Y MEDIDO A 1.20 MT POR ENSANCHE A 1.30  MT. PIE 7 TAMBIEN TIENE PERFORADORES EN EL TRONCO Y DIFERENCIAS EN DIAMETROS Y  ALTURA Y DIAMETROS COMPROBADOS.
 PIE 8 TAMBIEN TIENE INSECTOS EN EL TRONCO, ALTURA COMPROBADA Y CORRECTA.
 PIE 9 MEDIDO CON CINTA.
 PIE 10 TAMBIEN TIENE DAÑOS DEL FUEGO EN LAS RAMAS Y DIFERENCIAS EN DIAMETROS.

PIE 11 ENTRA MUY JUSTO. PIE 12 RUMBO, DIAMETROS Y ALTURA  COMPROBADOS, TAMBIEN TIENE PERFORADORES EN EL TRONCO Y PUDRICIONES.
SP  MATORRAL 4104 CORRESPONDE A CYTISUS SCOPARIUS. FUERA DE LOS 10 MT HAY ERICA CILIARIS.
FUERA DE LOS 25  MT HAY SAUCE CABRUNO Y ALISO.
CALICATA HECHA A 0 GRADOS POR NO PODER A 300 G POR ROCAS.
HAY MUCHAS PIEDRAS SUELTAS POR LA     PARCELA.


ACCESO Y LEVANTAMIENTO DIFICIL POR LA CANTIDAD Y ALTURA DEL BREZO.


HAY ABUNDANCIA DE HELECHOS.
EN LOS ALREDEDORES HAY CARBALLO EN  ESTADO FUSTAL.
LOS ROBLES DE LA PARCELA PARECEN HIBRIDOS (QUERCUS PYRENAICA X QUERCUS ROBUR).",3,26,08/01/02 00:00:00,12/30/99 10:41:50,08/01/02 00:00:00,12/30/99 12:51:24,130,166,80,260,10,352759,32,9,352759,31,10,D,5
49,49,8,A,4,NA,NA,0,1998,,4-3,1985,M,9,2002,134,1,7,2,40,5,1,1,4,2,2,4,07/16/02 00:00:00,12/30/99 13:15:00,1,2,1,1,7,0,NA,NA,0,0,,2,,55,0,6.2,0,1,2,1,"NO ENCONTRADO EL REJON PORQUE EN EL MONTE DONDE SE HALLA LA PARCELA DEL IFN2 NO HABIA PIES MAYORES E HICIERON UNA REPOBLACION NUEVA DE PINO SILVESTRE. PARCELA PINCHADA EN EL CRUCE DE COORDENADAS DE LA ORTOFOTO DEL IFN3.
FCC ARBOREA CORRECTA Y COMPROBADA. NO HAY PIES MAYORES.
AHOYADO CON EL RIPPER DEL BULLDOZER SEGUN LA LINEA DE MAX PENDIENTE.
MARCA DE PINTURA A 205 GRADOS Y 39.20  MT EN UNA ROCA.",3,26,07/16/02 00:00:00,12/30/99 13:04:00,07/16/02 00:00:00,12/30/99 13:26:00,22,166,255,55,10,352727,38,3,352727,37,4,D,5
49,49,9,A,3C,NA,NA,0,1985,M,4,1998,,3-4,2002,62,1,1,1,0,20,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,20,0,6.8,0,2,2,2,"ENCONTRADO EL REJON POR  EL CROQUIS Y FOTO DEL IFN2. 
EN REGENERACION EXISTEN 2 PIES MENORES DE REBOLLO Y UN 3 DE LA  CATEGORIA 2.
FUERA DE LOS 5.00 MT HAY REGENERACION  DE ABEDUL. EN MATORRAL TENEMOS CYTISUS  MULTIFLORUS, ERICA ARBOREA Y  ARANDANO. EN LOS ALREDEDORES HAY SERBAL DE CAZADORES.",3,26,07/24/02 00:00:00,12/30/99 10:26:15,07/24/02 00:00:00,12/30/99 10:42:15,16,166,,,,NA,0,41,NA,0,41,D,5
49,49,9,A,3E,NA,NA,0,1998,,3-4,1985,M,4,2002,62,1,6,1,75,30,1,2,4,1,1,4,07/24/02 00:00:00,12/30/99 13:23:00,1,2,1,1,6,3,NA,NA,0,0,,0,,85,330,5,9.5,2,2,3,"PARCELA DESPLAZADA 15 MT Y 0 GRADOS PARA CENTRARLA EN LA         TESELA.

AL REBOLLO NO LE DOY OCUPACION POR SER POCO        REPRESENTATIVO. 
PIE 10 MEDIDO CON CINTA. 
PIE15 DIFERENCIAS EN     DIAMETROS.

PIE 20 MEDIDO A  1.60 MT  PARA EVITAR  RAMA Y           ENGROSAMIENTO EN EL FUSTE A  1.30 MT.
 PIE  23 MEDIDO A  1.10 MT,Y   DIFERENCIAS EN DIAMETROS.

EL PIE 24 PRACTICAMENTE ESTA MUERTO, SOLO TIENE UNA  RAMILLA  VIVA. DIAMETROS Y ALTURAS COMPROBADOS. 
DIFICULTADES PARA MEDIR LAS ALTURAS.
 SP MATORRAL 4104 CORRESPONDE A CYTISUS MULTIFLORUS. HAY MUY POCO  SUELO Y MUCHAS PIEDRAS. LEVANTAMIENTO DIFICIL POR  LA MARAÑA DE MATORRAL Y ARBOLES  DENTRO DE LA VAGUADA.
HAY ABUNDANCIA DE MUSGO,LIQUENES Y   HELECHOS.

FUERA DE LOS 10 MT HAY ARANDANO.",3,26,07/24/02 00:00:00,12/30/99 11:10:36,07/24/02 00:00:00,12/30/99 13:58:13,168,166,70,200,10,352727,14,27,352727,13,28,D,5
49,49,11,A,4,NA,NA,0,1998,,3-4,1985,M,6,2002,62,1,1,1,75,25,1,1,4,2,2,4,08/05/02 00:00:00,12/30/99 15:01:00,1,2,1,1,6,1,NA,NA,0,0,,2,,45,0,9,0,3,2,1,"NO ENCONTRADO EL REJON POR FALTA DE REFERENCIAS CLARAS DEL IFN2. EN EL 25%  APROX DE LA PARCELA HICIERON HOYOS EN FAJAS SEGUN LA LINEA DE MAXIMA  PTE CON  BULLDOZER Y AUNQUE NO HAN  PLANTADO NADA LO HE CONSIDERADO A EFECTOS DE TRATAMIENTO DE MEJORA DEL SUELO.
EN LOS ALREDEDORES HAY UNA REPOBLACION DE  SORBUS AUCUPARIA, ABEDUL Y PINO SILVESTRE NO TERMINADA MUY   RECIENTE.
FUERA DE LOS 25 MT HAY ARRACLAN.
POR LA PARCELA PASO UN INCENDIO HACE UNOS 4-5 AÑOS. NO HAY PIES MAYORES. MARCA DE PINTURA EN UNA ROCA CUADRADA A 140 MT Y 160 GRADOS DESDE EL REJON.",3,26,08/05/02 00:00:00,12/30/99 14:11:10,08/05/02 00:00:00,12/30/99 15:05:48,55,166,50,300,10,352759,22,19,352759,21,20,D,5
49,49,12,A,4,NA,NA,0,1998,,3-4,1985,M,6,2002,62,1,7,2,60,5,1,1,4,2,2,4,08/05/02 00:00:00,12/30/99 11:27:00,1,2,1,1,5,0,NA,NA,0,0,,2,,155,0,8,0,2,3,1,"NO ENCONTRADO EL REJON POR FALTA DE REFERENCIAS CLARAS DEL IFN2.
EN LA  PARCELA HICIERON UNA REPOBLACION DE PINO SILVESTRE HACE 3 AÑOS, SOBRE HOYOS EN FAJAS SEGUN LA LINEA DE MAXIMA   PTE,CON EL RIPPER DEL BULLDOZER Y NO HAY PIES MAYORES.
AUNQUE HE DADO OCUPACION AL REBOLLO HE  CONSIDERADO LA MASA PURA. FUERA DE LOS 5.00 MT HAY REGENERACION DE REBOLLO.
SP MATORRAL 0117 CORRESPONDE A HALIMIUM ATRIPLICIFOLIUM. CALICATA HECHA A 100 GRADOS PORQUE A 300  GRADOS HAY ROCA. ACCESO DIFICIL POR LA  FUERTE PENDIENTE.",3,26,08/05/02 00:00:00,12/30/99 10:38:36,08/05/02 00:00:00,12/30/99 11:32:50,54,166,255,100,10,352759,24,17,352759,23,18,D,5
49,49,13,A,1,NA,NA,0,1985,M,8,1998,,4-3,2002,134,1,1,1,90,40,1,2,2,2,2,4,08/01/02 00:00:00,12/30/99 15:44:00,1,2,1,1,5,3,NA,NA,0,0,,0,,180,0,2,0,1,1,1,"ENCONTRADO EL REJON POR LOS PIES MAYORES Y FOTO DEL IFN2. FCC ARBOREA COMPROBADA.
AUNQUE HAY REBOLLOS EN ESTADO LATIZAL  LO QUE PREDOMINA ES EL ESTADO FUSTAL.
AUNQUE NO ENTRE   NINGUN PIE DE ALISO Y DE ARRACLAN LA OCUPACION ESTA COMPROBADA Y ES CORRECTA.
PIE 8 MEDIDO CON CINTA.
FUERA DE LOS 5.00 MT HAY REGENERACION DE ALISO, ARRACLAN Y SERBAL DE   CAZADORES.
 SP MATORRAL 4104 CORRESPONDE A CYTISUS SCOPARIUS. SP MATORRAL 0117 CORRESPONDE A HALIMIUM ATRIPLICIFOLIUM.
SP MATORRAL 0102 CORRESPONDE A ERICA TETRALIX.

HAY HELECHOS. ZONA FRECUENTADA POR GANADO VACUNO.",3,26,08/01/02 00:00:00,12/30/99 14:40:55,08/01/02 00:00:00,12/30/99 15:53:54,73,166,130,260,10,352759,30,11,352759,29,12,D,5
49,49,14,A,4,NA,NA,0,1998,,4-3,1985,M,8,2002,134,1,1,2,95,75,1,2,2,2,2,4,07/16/02 00:00:00,12/30/99 11:48:00,1,2,1,1,7,2,NA,NA,4,4,,4,,255,0,0.8,0,1,1,2,"NO ENCONTRADO EL REJON PORQUE DONDE SE UBICABA LA PARCELA DEL IFN2  SE PRODUJO UN INCENDIO Y CORTARON TODOS LOS PIES DEL RODAL QUEMADO, SIENDO IMPOSIBLE LOCALIZARLA.
LOS PINOS SILVESTRES ESTAN DOMINADOS POR LOS OTROS PINOS.
PINO LARICIO A 15.10 MT AL FRENTE SIN  PTE Y 19 GRADOS NO ENTRA POR DISTANCIA. PINO PINASTER A 15.30 MT Y 44 GRADOS NO  ENTRA POR DIAMETRO.
PIE 14 MEDIDO A 1.40 MT POR  ENGROSAMIENTO A 1.30.
PINO LARICIO A 136 GRADOS Y 7.50 MT CON  DIAMETROS 124-123 NO ENTRA.
PINO LARICIO A 141 GRADOS Y 11.70 MT  CON DIAMETROS 222-222 NO ENTRA.
PIE 24 MEDIDO A 1.20 MT PARA EVITAR BIFURCACION A 1.30 MT.
PIE 30 TAMBIEN ESTA DOMINADO.
FUERA DE LOS 5.00 MT HAY REGENERACION  DE REBOLLO.",3,26,07/16/02 00:00:00,12/30/99 10:14:00,07/16/02 00:00:00,12/30/99 12:00:00,106,166,10,160,10,352727,40,1,352727,39,2,D,5
