"","INVENTORY_ID","province","notebook","class","subclass","IFN3_ID","X","Y","Forest_type","Deadwood","species_1","species_2","species_3","N","N_dead","N_alive","N_sp_1","N_sp_2","N_sp_3","CD_0_75","CD_75_125","CD_125_175","CD_175_225","CD_225_275","CD_275_325","CD_325_375","CD_375_425","CD_425_","DBHm","Dg","Do","G","G_dead","G_alive","G_sp_1","G_sp_2","G_sp_3","Hm","Ho","Fcc","slenderness","dominant_slenderness","SDI","S","S_staggered"
"1","IFN3",49,100,"A",NA,"49_100_A_4",711000,4671000,"plantation",0,21,NA,NA,1297.99698032724,NA,1297.99698032724,1297.99698032724,NA,NA,0,286.478897565412,477.464829275686,477.464829275686,42.4413181578388,14.1471060526129,0,0,0,16.1098092643052,16.5532885674666,23.4852941176471,27.9339361111111,NA,27.9339361111111,27.9339361111111,NA,NA,8.9874659400545,10.1352941176471,80,55.7887793244592,43.1559173450219,669.713798821556,27.3858864348739,50.9708779742239
"2","IFN3",49,1000,"A",NA,"49_1000_A_1",744000,4568000,"other",0,45,NA,NA,233.002836686535,NA,233.002836686535,233.002836686535,NA,NA,0,0,127.323954473516,95.4929658551372,0,0,0,0,10.1859163578813,17.7374316939891,19.1512490853744,21.7584337349398,6.71189725,NA,6.71189725,6.71189725,NA,NA,3.87158469945355,4.01807228915663,70,21.8272000492922,18.4667349594396,151.912617811939,163.042809347976,303.456861241768
"3","IFN3",49,1001,"A",NA,"49_1001_A_1",748000,4568000,"other",0,45,44,NA,178.395007323449,NA,178.395007323449,132.416912652457,45.978094670992,NA,0,0,0,31.8309886183791,84.8826363156775,42.4413181578388,14.1471060526129,0,5.09295817894065,27.3000793021412,27.864284781345,30.6459239130435,10.878484,NA,10.878484,9.14244788888889,1.73603611111111,NA,8.05947660586836,8.61141304347826,70,29.5218065730536,28.0997011802052,212.319978477997,86.9429219237468,161.819011213546
"4","IFN3",49,1002,"A",NA,"49_1002_A_4",750000,4568000,"other",0,45,44,NA,10.1859163578813,NA,10.1859163578813,5.09295817894065,5.09295817894065,NA,0,0,0,0,0,0,0,0,10.1859163578813,67.775,68.6819936373428,67.775,3.773773,NA,3.773773,2.490084,1.283689,NA,9.25,9.25,0,13.6481003319808,13.6481003319808,51.5749997956189,338.733550625811,630.454176306573
"5","IFN3",49,1003,"A",NA,"49_1003_A_1",743000,4567000,"other",0,45,NA,NA,80.4970334393675,NA,80.4970334393675,80.4970334393675,NA,NA,0,0,31.8309886183791,0,14.1471060526129,0,0,14.1471060526129,20.3718327157626,30.6054481546573,35.3062125800642,30.6054481546573,7.88083111111111,NA,7.88083111111111,7.88083111111111,NA,NA,6.12126537785589,6.12126537785589,50,20.0005742341152,20.0005742341152,140.083578730907,182.082771054408,338.894223004015
"6","IFN3",49,1004,"A",NA,"49_1004_A_1",744000,4567000,"other",0,45,NA,NA,162.26730642347,NA,162.26730642347,162.26730642347,NA,NA,0,0,31.8309886183791,63.6619772367581,56.5884242104517,0,0,0,10.1859163578813,23.0582824760244,24.5930569532367,24.9637744034707,7.70807513888889,NA,7.70807513888889,7.70807513888889,NA,NA,5.07149084568439,5.08893709327549,70,21.9942263737884,20.3852871405855,158.048872001371,154.261448156752,287.112906453601
"7","IFN3",49,1006,"A",NA,"49_1006_A_1",252000,4566000,"other",0,45,NA,NA,269.926783483854,NA,269.926783483854,269.926783483854,NA,NA,0,254.647908947033,0,0,0,0,0,0,15.278874536822,12.0990566037736,14.6477298775625,15.4910714285714,4.548587,NA,4.548587,4.548587,NA,NA,4.68867924528302,5.30357142857143,60,38.7524366471735,34.2363112391931,114.449429757814,114.764769275007,213.601303882105
"8","IFN3",49,1007,"A",NA,"49_1007_A_1",750000,4566000,"other",0,45,NA,NA,42.0169049762604,NA,42.0169049762604,42.0169049762604,NA,NA,0,0,31.8309886183791,0,0,0,0,0,10.1859163578813,24.9,31.8175909036038,24.9,3.340785,NA,3.340785,3.340785,NA,NA,5.60606060606061,5.60606060606061,30,22.5142996227334,22.5142996227334,61.8744498930305,275.188437422279,512.183394067773
"9","IFN3",49,1008,"A",NA,"49_1008_A_1",252000,4564000,"other",0,45,NA,NA,127.323954473516,NA,127.323954473516,127.323954473516,NA,NA,0,127.323954473516,0,0,0,0,0,0,0,8.9,8.9,8.9,0.7921,NA,0.7921,0.7921,NA,NA,3.5,3.5,25,39.3258426966292,39.3258426966292,24.2653950047199,253.207692986502,471.272618910543
"11","IFN3",49,101,"A",NA,"49_101_A_1",712000,4671000,"plantation",0,21,43,NA,862.973469209388,NA,862.973469209388,608.325560262356,254.647908947033,NA,0,254.647908947033,190.985931710274,190.985931710274,127.323954473516,70.7355302630646,14.1471060526129,14.1471060526129,0,17.3661885245902,18.8947985404779,30.49375,24.1975756944444,NA,24.1975756944444,22.7259506944444,1.471625,NA,10.7389344262295,13.5375,40,61.8381771626134,44.3943431030949,550.59601881913,25.1456466365638,46.8013218905014
"12","IFN3",49,1012,"A",NA,"49_1012_A_1",264000,4576000,"other",0,43,NA,NA,24.3330224104942,NA,24.3330224104942,24.3330224104942,NA,NA,0,0,0,0,0,0,14.1471060526129,0,10.1859163578813,39.2279069767442,39.691748307689,39.2279069767442,3.01083111111111,NA,3.01083111111111,3.01083111111111,NA,NA,9.20930232558139,9.20930232558139,50,23.4764050272706,23.4764050272706,51.0994480736639,220.12797659991,409.70432929638
"13","IFN3",49,1014,"A",NA,"49_1014_A_1",277000,4575000,"natural",0,23,NA,NA,10.1859163578813,NA,10.1859163578813,10.1859163578813,NA,NA,0,0,0,0,0,0,0,0,10.1859163578813,56.35,56.7469162157733,56.35,2.57617,NA,2.57617,2.57617,NA,NA,10.5,10.5,40,18.6335403726708,18.6335403726708,37.9650283244391,298.408127932262,555.400107698648
"14","IFN3",49,1016,"A",NA,"49_1016_A_1",266000,4574000,"natural",0,43,23,NA,20.3718327157626,NA,20.3718327157626,15.278874536822,5.09295817894065,NA,0,0,0,0,0,0,0,0,20.3718327157626,59.925,60.7735448200942,59.925,5.909478,NA,5.909478,5.090453,0.819025,NA,13.625,13.625,40,22.7367542761786,22.7367542761786,84.7614290641226,162.610445037203,302.652140584753
"15","IFN3",49,1018,"A",NA,"49_1018_A_4",270000,4574000,"other",0,43,44,NA,141.471060526129,NA,141.471060526129,14.1471060526129,127.323954473516,NA,0,127.323954473516,0,0,0,14.1471060526129,0,0,0,10.335,11.9278770114384,10.335,1.580825,NA,1.580825,0.8836,0.697225,NA,5.5,5.5,0,53.2172230285438,53.2172230285438,43.1377763960703,152.863396810853,284.510839702064
"16","IFN3",49,1019,"A",NA,"49_1019_A_1",272000,4574000,"other",1,45,NA,NA,160.711124757683,146.56401870507,14.1471060526129,160.711124757683,NA,NA,0,127.323954473516,0,0,14.1471060526129,14.1471060526129,0,0,5.09295817894065,13.0165492957746,16.2028660957964,13.0165492957746,3.31374822222222,2.64680377777778,0.666944444444444,3.31374822222222,NA,NA,4.28345070422535,4.6969111969112,80,32.9077285146211,36.0841501859166,80.1211426770539,167.944072609334,312.579140055284
"17","IFN3",49,102,"A",NA,"49_102_A_4",719000,4671000,"plantation",0,25,NA,NA,859.436692696235,NA,859.436692696235,859.436692696235,NA,NA,0,254.647908947033,445.633840657307,159.154943091895,0,0,0,0,0,14.8277777777778,15.0340139042797,18.7375,15.25645625,NA,15.25645625,15.25645625,NA,NA,7.68148148148148,8.9,30,51.8046709129512,47.498332221481,379.949142236713,38.3268429942505,71.3342926489856
"18","IFN3",49,1020,"A",NA,"49_1020_A_1",264000,4572000,"other",0,46,NA,NA,5.09295817894065,NA,5.09295817894065,5.09295817894065,NA,NA,0,0,0,0,0,0,0,0,5.09295817894065,77.7,77.7,77.7,2.414916,NA,2.414916,2.414916,NA,NA,9.5,9.5,25,12.2265122265122,12.2265122265122,31.4341796743471,466.435223922504,868.133771677317
"19","IFN3",49,1021,"A",NA,"49_1021_A_1",266000,4572000,"natural",0,45,NA,NA,222.816920328653,NA,222.816920328653,222.816920328653,NA,NA,0,0,190.985931710274,31.8309886183791,0,0,0,0,0,15.6214285714286,15.7789982481235,17.125,4.35709375,NA,4.35709375,4.35709375,NA,NA,5.07142857142857,5,20,32.4645633287609,29.1970802919708,106.45643911472,133.984917138136,249.374029870283
"20","IFN3",49,1022,"A",NA,"49_1022_A_1",268000,4572000,"other",0,43,44,45,107.235063878806,NA,107.235063878806,15.278874536822,60.1252007236049,31.8309886183791,0,0,63.6619772367581,0,28.2942121052258,0,0,0,15.278874536822,20.8191952506596,23.6155281441061,20.8191952506596,4.69701580555556,NA,4.69701580555556,2.529054,1.68145555555556,0.48650625,5.42018469656992,5.42018469656992,40,26.0345543202405,26.0345543202405,97.8645378474346,178.162995876428,331.598699349583
"21","IFN3",49,1024,"A",NA,"49_1024_A_1",277000,4572000,"natural",0,26,23,NA,479.021010941473,NA,479.021010941473,450.726798836248,28.2942121052258,NA,0,0,159.154943091895,159.154943091895,84.8826363156775,42.4413181578388,14.1471060526129,14.1471060526129,5.09295817894065,21.1310986414649,22.2215412284085,31.4774456521739,18.5777365,NA,18.5777365,17.0451142777778,1.53262222222222,NA,10.3292971057295,12.6358695652174,70,48.8819690873083,40.1426141906299,396.491063701279,36.1590976647129,67.2996639750585
"22","IFN3",49,1025,"A",NA,"49_1025_A_1",270000,4571000,"other",0,55,NA,NA,14.1471060526129,NA,14.1471060526129,14.1471060526129,NA,NA,0,0,0,0,0,0,14.1471060526129,0,0,36.6,36.6,36.6,1.4884,NA,1.4884,1.4884,NA,NA,14,14,20,38.2513661202186,38.2513661202186,26.0832099623406,189.905769739877,353.454464182907
"23","IFN3",49,1027,"A",NA,"49_1027_A_1",268000,4570000,"other",0,43,55,44,110.347427210381,NA,110.347427210381,100.161510852499,5.09295817894065,5.09295817894065,0,0,0,0,0,0,42.4413181578388,42.4413181578388,25.4647908947033,41.5266666666667,42.3575189341445,41.5266666666667,15.5493815555556,NA,15.5493815555556,12.2851965555556,2.238016,1.026169,9.96410256410256,9.96410256410257,80,23.9944675648641,23.9944675648641,257.212441829894,95.5390029871871,177.818120827293
"24","IFN3",49,1028,"A",NA,"49_1028_A_1",269000,4570000,"other",0,44,NA,NA,20.3718327157626,NA,20.3718327157626,20.3718327157626,NA,NA,0,0,0,0,0,0,0,0,20.3718327157626,51.125,51.3640803480409,51.125,4.22123,NA,4.22123,4.22123,NA,NA,8.375,8.375,45,16.3814180929095,16.3814180929095,64.7060533698845,264.54535088142,492.374377966239
"25","IFN3",49,1029,"A",NA,"49_1029_A_1",270000,4570000,"other",1,44,43,NA,212.206590789194,180.375602170815,31.8309886183791,120.25040144721,91.956189341984,NA,0,0,127.323954473516,0,70.7355302630646,14.1471060526129,0,0,0,19.57,20.1762917802058,23.05,6.7847125,6.10820625,0.67650625,4.21080625,2.57390625,NA,6.025,7.40909090909091,60,30.7869187531937,32.1435614277263,150.430369003672,92.6521800138171,172.445137854521
"26","IFN3",49,103,"A",NA,"49_103_A_1",720000,4671000,"plantation",0,21,25,26,1032.73874184074,NA,1032.73874184074,541.126806512444,268.795014999645,222.816920328653,0,381.971863420549,413.802852038928,222.816920328653,14.1471060526129,0,0,0,0,14.6640410958904,15.1610938630195,21.0532258064516,18.6441,NA,18.6441,11.8174625,3.74825,3.0783875,6.97876712328767,8.30967741935484,40,47.5910226768491,39.469853673485,462.77433611951,37.4473078062555,69.6972932095867
